sample,timestamp_s,d_raw_m,a_raw_ms2,d_est_m,v_est_ms,a_est_ms2,v_used_ms,TTC_s,label
1,0.0687,0.1804,-0.0149,0.1804,-0.0007,-0.0149,-0.0001,15.0000,STATIONNAIRE
2,0.1100,0.1804,-0.0077,0.1804,-0.0002,-0.0077,-0.0001,15.0000,STATIONNAIRE
3,0.2180,0.1804,0.0127,0.1804,0.0004,0.0127,-0.0000,15.0000,STATIONNAIRE
4,0.2188,0.1804,-0.0125,0.1804,-0.0003,-0.0125,-0.0001,15.0000,STATIONNAIRE
5,0.2499,0.1804,0.0211,0.1804,0.0007,0.0211,0.0001,15.0000,STATIONNAIRE
6,0.3059,0.1804,-0.0209,0.1804,-0.0004,-0.0208,0.0000,15.0000,STATIONNAIRE
7,0.3534,0.1804,0.0067,0.1804,-0.0000,0.0067,-0.0001,15.0000,STATIONNAIRE
8,0.4013,0.1804,-0.0017,0.1804,-0.0001,-0.0017,-0.0000,15.0000,STATIONNAIRE
9,0.4487,0.1804,0.0031,0.1804,0.0001,0.0031,-0.0000,15.0000,STATIONNAIRE
10,0.4965,0.1804,-0.0029,0.1804,-0.0001,-0.0029,-0.0000,15.0000,STATIONNAIRE
11,0.7725,0.1804,-0.0065,0.1804,-0.0004,-0.0065,-0.0001,15.0000,STATIONNAIRE
12,0.7733,0.1804,0.0079,0.1804,0.0000,0.0079,-0.0001,15.0000,STATIONNAIRE
13,0.7739,0.1804,-0.0005,0.1804,-0.0000,-0.0005,0.0000,15.0000,STATIONNAIRE
14,0.7742,0.1806,0.0151,0.1805,0.0009,0.0151,0.0008,15.0000,STATIONNAIRE
15,0.7744,0.1806,0.0007,0.1805,0.0009,0.0007,0.0009,15.0000,STATIONNAIRE
16,0.7968,0.1804,0.0223,0.1806,0.0020,0.0223,0.0007,15.0000,STATIONNAIRE
17,0.8582,0.1804,0.0007,0.1806,0.0019,0.0007,0.0010,15.0000,STATIONNAIRE
18,0.9052,0.1804,0.0151,0.1806,0.0025,0.0151,0.0013,15.0000,STATIONNAIRE
19,0.9519,0.1804,0.0127,0.1807,0.0031,0.0127,0.0017,15.0000,STATIONNAIRE
20,0.9988,0.1804,0.0115,0.1808,0.0035,0.0115,0.0020,15.0000,STATIONNAIRE
21,1.2244,0.1804,0.0115,0.1809,0.0039,0.0115,0.0023,15.0000,STATIONNAIRE
22,1.2248,0.1804,-0.0017,0.1810,0.0037,-0.0017,0.0023,15.0000,STATIONNAIRE
23,1.2250,0.1804,0.0151,0.1810,0.0042,0.0151,0.0025,15.0000,STATIONNAIRE
24,1.2252,0.1804,-0.0125,0.1811,0.0034,-0.0125,0.0024,15.0000,STATIONNAIRE
25,1.2521,0.1804,0.0055,0.1811,0.0035,0.0055,0.0022,15.0000,STATIONNAIRE
26,1.2994,0.1804,-0.0077,0.1812,0.0030,-0.0077,0.0020,15.0000,STATIONNAIRE
27,1.3474,0.1804,-0.0149,0.1812,0.0021,-0.0149,0.0015,15.0000,STATIONNAIRE
28,1.3947,0.1804,-0.0077,0.1811,0.0015,-0.0077,0.0010,15.0000,STATIONNAIRE
29,1.5260,0.1804,-0.0113,0.1811,0.0008,-0.0113,0.0005,15.0000,STATIONNAIRE
30,1.5265,0.1804,0.0115,0.1810,0.0013,0.0115,0.0005,15.0000,STATIONNAIRE
31,1.7547,0.1804,-0.0089,0.1810,0.0007,-0.0089,0.0004,15.0000,STATIONNAIRE
32,1.7552,0.1806,0.0079,0.1810,0.0011,0.0079,0.0006,15.0000,STATIONNAIRE
33,1.7556,0.1804,-0.0137,0.1810,0.0003,-0.0137,0.0001,15.0000,STATIONNAIRE
34,1.7560,0.1804,0.0139,0.1809,0.0009,0.0139,0.0001,15.0000,STATIONNAIRE
35,1.7564,0.1804,-0.0041,0.1809,0.0006,-0.0041,0.0002,15.0000,STATIONNAIRE
36,1.8083,0.1804,0.0199,0.1809,0.0016,0.0199,0.0005,15.0000,STATIONNAIRE
